                                                             ,                                             ,                                                , W10 v1909 #1, W10 v1909 #2, W10 v2004 #1, W10 v2004 #2, W10 v2004 w/ WSL2 #1, W10 v2004 w/ WSL2 #2, Variance, Analysis
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (11 cores)                         ,                                                , 25          , 24          , 24.7        , 24.6        , 24.6                , 24.7                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (12 cores)                         ,                                                , 23.7        , 24.7        , 24.3        , 23.8        , 23.9                , 25.2                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (13 cores)                         ,                                                , 24.8        , 24.3        , 23.5        , 24.5        , 25.3                , 25                  ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (14 cores)                         ,                                                , 24.8        , 24.3        , 25.6        , 25.3        , 25.6                , 23.8                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (15 cores)                         ,                                                , 25.2        , 24.4        , 25.3        , 25.2        , 24.1                , 25.6                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (16 cores)                         ,                                                , 25.5        , 24.8        , 24.5        , 25.5        , 25.5                , 25                  ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (17 cores)                         ,                                                , 25.2        , 24.2        , 25.2        , 25          , 25.6                , 25.2                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (18 cores)                         ,                                                , 25.1        , 24.7        , 24.6        , 25          , 24.7                , 24.3                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (19 cores)                         ,                                                , 25.2        , 24.6        , 24.4        , 24.5        , 24.6                , 24.8                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (20 cores)                         ,                                                , 24.4        , 24.6        , 24          , 24.2        , 24.2                , 25                  ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (21 cores)                         ,                                                , 23.5        , 23.7        , 23.5        , 23.7        , 23.1                , 23.8                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (22 cores)                         ,                                                , 23.9        , 23.3        , 23.4        , 21.9        , 23.4                , 23.1                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (23 cores)                         ,                                                , 23          , 22.9        , 22.6        , 21.4        , 23.2                , 23                  ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU only (24 cores)                         ,                                                , 21.8        , 21.7        , 21.6        , 21.5        , 21.8                , 21.9                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , GPU only (GeForce RTX 2080 Ti)              ,                                                , 42.3        , 43.1        , 43.2        , 43          , 43.1                , 43                  ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (2 cores) and GPU (GeForce RTX 2080 Ti) ,                                                , 21.9        , 21.6        , 22          , 22          , 21.9                , 21.8                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (3 cores) and GPU (GeForce RTX 2080 Ti) ,                                                , 29.4        , 29.7        , 29.7        , 29.4        , 29.6                , 29.9                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (4 cores) and GPU (GeForce RTX 2080 Ti) ,                                                , 30.7        , 31.2        , 31.1        , 30.8        , 30.9                , 31.1                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (5 cores) and GPU (GeForce RTX 2080 Ti) ,                                                , 33.5        , 33.9        , 34.2        , 33.8        , 33.7                , 33.7                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (6 cores) and GPU (GeForce RTX 2080 Ti) ,                                                , 34.1        , 35          , 35.5        , 35          , 35.7                , 35.2                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (7 cores) and GPU (GeForce RTX 2080 Ti) ,                                                , 34.7        , 35          , 34.9        , 34.9        , 35.4                , 34.7                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (8 cores) and GPU (GeForce RTX 2080 Ti) ,                                                , 33.8        , 34.7        , 34.9        , 35.2        , 35.4                , 34.8                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (9 cores) and GPU (GeForce RTX 2080 Ti) ,                                                , 35.6        , 35          , 35.5        , 34.8        , 35.8                , 35.5                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (10 cores) and GPU (GeForce RTX 2080 Ti),                                                , 36          , 36.1        , 36.9        , 37.2        , 37.3                , 37                  ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (11 cores) and GPU (GeForce RTX 2080 Ti),                                                , 37.8        , 38.2        , 36.6        , 37.1        , 35.7                , 36.8                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (12 cores) and GPU (GeForce RTX 2080 Ti),                                                , 38.9        , 37.9        , 36.4        , 36.3        , 39.7                , 39.1                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (13 cores) and GPU (GeForce RTX 2080 Ti),                                                , 39          , 38.2        , 39.9        , 39          , 36.4                , 39.3                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (14 cores) and GPU (GeForce RTX 2080 Ti),                                                , 38.6        , 38.2        , 39.7        , 39.3        , 39.8                , 39.2                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (15 cores) and GPU (GeForce RTX 2080 Ti),                                                , 38.7        , 37.4        , 39          , 39.4        , 36.8                , 39                  ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (16 cores) and GPU (GeForce RTX 2080 Ti),                                                , 38.2        , 38.5        , 39.4        , 39.4        , 39.5                , 37.9                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (17 cores) and GPU (GeForce RTX 2080 Ti),                                                , 38.3        , 37.8        , 38.9        , 38.1        , 38.5                , 37.8                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (18 cores) and GPU (GeForce RTX 2080 Ti),                                                , 38.1        , 37.8        , 39          , 38.4        , 38.3                , 37.9                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (19 cores) and GPU (GeForce RTX 2080 Ti),                                                , 37.6        , 37.3        , 37.8        , 37.5        , 38.8                , 37.5                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (20 cores) and GPU (GeForce RTX 2080 Ti),                                                , 37.7        , 37.2        , 38.5        , 38          , 37                  , 37.6                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (21 cores) and GPU (GeForce RTX 2080 Ti),                                                , 37.5        , 37.2        , 36.6        , 36.7        , 36.6                , 36.9                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (22 cores) and GPU (GeForce RTX 2080 Ti),                                                , 36.6        , 36.1        , 35.1        , 36.3        , 36.3                , 33.7                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (23 cores) and GPU (GeForce RTX 2080 Ti),                                                , 35          , 35.2        , 34.5        , 34.5        , 33.7                , 34.1                ,         , 
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)              , CPU (24 cores) and GPU (GeForce RTX 2080 Ti),                                                , 34.5        , 32.5        , 33.9        , 33.8        , 33.7                , 33.8                ,         , 
CineBench R15.038                                            , CPU Render                                  , Single Core                                    , 210.7       , 210.9       , 209.5       , 210.4       , 209.5               , 209.6               ,         , 
CineBench R15.038                                            , CPU Render                                  , Multi Core                                     , 3138.7      , 3123.1      , 3118.4      , 3118.2      , 3122.3              , 3132.3              , 0.66%   , Within margin of error
CineBench R15.038                                            , GPU OpenGL                                  ,                                                , 178.7       , 177.3       , 175.4       , 176.4       , 174.8               , 177.3               ,         , 
Cinebench R20.060                                            , CPU Render                                  , CB Score                                       , 6976.63     , 6965.15     , 7058.77     , 7060.13     , 7074.5              , 7072.27             , 1.55%   , Within margin of error
OctaneBench 4.02.1                                           , Total score                                 ,                                                , 313.4       , 312         , 311.9       , 310.6       , 311.2               , 310.2               , 1.03%   , Within margin of error
OctaneBench 4.02.1                                           , Interior (by Julia Lynen)                   , info channels                                  , 198.6       , 193.7       , 194.7       , 189.7       , 197.3               , 192.2               ,         , 
OctaneBench 4.02.1                                           , Interior (by Julia Lynen)                   , direct lighting                                , 64          , 63.4        , 63.9        , 63.3        , 63.6                , 63.1                ,         , 
OctaneBench 4.02.1                                           , Interior (by Julia Lynen)                   , path tracing                                   , 28.9        , 28.7        , 28.8        , 28.7        , 28.8                , 28.6                ,         , 
OctaneBench 4.02.1                                           , Idea (by Julio CayetaÃ±o)                   , info channels                                  , 221.2       , 218.8       , 217.5       , 215.7       , 219.5               , 217.8               ,         , 
OctaneBench 4.02.1                                           , Idea (by Julio CayetaÃ±o)                   , direct lighting                                , 60.8        , 60.6        , 60.5        , 60.4        , 60.3                , 60.2                ,         , 
OctaneBench 4.02.1                                           , Idea (by Julio CayetaÃ±o)                   , path tracing                                   , 54.3        , 54.3        , 54.1        , 54          , 53.9                , 53.8                ,         , 
OctaneBench 4.02.1                                           , ATV (by JÃ¼rgen Aleksejev)                  , info channels                                  , 131.5       , 130.7       , 130.2       , 129.5       , 130.6               , 130.1               ,         , 
OctaneBench 4.02.1                                           , ATV (by JÃ¼rgen Aleksejev)                  , direct lighting                                , 46.6        , 46.5        , 46.5        , 46.4        , 46.3                , 46.3                ,         , 
OctaneBench 4.02.1                                           , ATV (by JÃ¼rgen Aleksejev)                  , path tracing                                   , 39          , 38.9        , 38.9        , 38.8        , 38.7                , 38.7                ,         , 
OctaneBench 4.02.1                                           , Box (by Enrico Cerica)                      , info channels                                  , 218.5       , 217.9       , 214.4       , 213.9       , 216                 , 215.8               ,         , 
OctaneBench 4.02.1                                           , Box (by Enrico Cerica)                      , direct lighting                                , 41          , 41          , 40.9        , 40.8        , 40.8                , 40.7                ,         , 
OctaneBench 4.02.1                                           , Box (by Enrico Cerica)                      , path tracing                                   , 41.1        , 41.1        , 41          , 41          , 40.9                , 40.8                ,         , 
OctaneBench 2019                                             , Total Score                                 , RTX On                                         , 1021.9      , 1022.4      , 1020        , 1020.8      , 1016.5              , 1017                , 0.58%   , Within margin of error
OctaneBench 2019                                             , Total Score                                 , RTX Off                                        , 310.3       , 311.2       , 309.1       , 309         , 309.2               , 309.4               , 0.71%   , Within margin of error
OctaneBench 2019                                             , RTX Speedup                                 ,                                                , 3.29        , 3.28        , 3.3         , 3.3         , 3.29                , 3.29                ,         , 
V-Ray Benchmark 1.0.8                                        , CPU                                         ,                                                , 46          , 46          , 47          , 47          , 47                  , 47                  , 2.14%   , Within margin of error
V-Ray Benchmark 1.0.8                                        , GPU                                         ,                                                , 48          , 48          , 49          , 49          , 48                  , 48                  , 2.07%   , Within margin of error
V-Ray Next Benchmark 4.10.06                                 , CPU Mode                                    , All CPUs                                       , 19702       , 19786       , 19744       , 19379       , 19627               , 19553               , 2.07%   , Within margin of error
V-Ray Next Benchmark 4.10.06                                 , GPU Mode                                    , GPUs Only                                      , 340         , 341         , 342         , 342         , 340                 , 340                 ,         , 
V-Ray Next Benchmark 4.10.06                                 , GPU Mode                                    , GPUs & CPUs                                    , 453         , 453         , 454         , 455         , 454                 , 453                 ,         , 
Pix4D 4.5.6                                                  , Rock Model                                  , Step 1                                         , 80          , 79          , 79          , 79          , 80                  , 78                  ,         , 
Pix4D 4.5.6                                                  , Rock Model                                  , Step 2                                         , 184         , 184         , 185         , 186         , 185                 , 185                 ,         , 
Pix4D 4.5.6                                                  , Rock Model                                  , Total                                          , 264         , 263         , 264         , 265         , 265                 , 263                 , 0.76%   , Within margin of error
Pix4D 4.5.6                                                  , School Map                                  , Step 1                                         , 150         , 149         , 152         , 151         , 151                 , 150                 ,         , 
Pix4D 4.5.6                                                  , School Map                                  , Step 2                                         , 287         , 287         , 289         , 290         , 288                 , 289                 ,         , 
Pix4D 4.5.6                                                  , School Map                                  , Step 3                                         , 288         , 289         , 295         , 296         , 293                 , 291                 ,         , 
Pix4D 4.5.6                                                  , School Map                                  , Total                                          , 725         , 725         , 736         , 737         , 732                 , 730                 , 1.64%   , Within margin of error
Redshift 2.6.41                                              , Render Time                                 , Age of Vultures scene                          , 489         , 491         , 489         , 497         , 489                 , 491                 , 1.63%   , Within margin of error
RealityCapture 1.0.3.10403                                   , Rock Model                                  , Align Images                                   , 15.3        , 15          , 14.2        , 15          , 14.7                , 14.9                ,         , 
RealityCapture 1.0.3.10403                                   , Rock Model                                  , Calculate Model                                , 95.1        , 97.1        , 87.6        , 87.3        , 87.7                , 89.2                ,         , 
RealityCapture 1.0.3.10403                                   , Rock Model                                  , Colorize                                       , 9.8         , 9.9         , 9.1         , 9           , 9.1                 , 9                   ,         , 
RealityCapture 1.0.3.10403                                   , Rock Model                                  , Texture                                        , 72.3        , 72          , 68.6        , 68.4        , 68.5                , 67.9                ,         , 
RealityCapture 1.0.3.10403                                   , Rock Model                                  , Total                                          , 192.5       , 194         , 179.5       , 179.7       , 180                 , 181                 , 7.86%   , "Got better with v2004, no difference with WSL2 enabled"
RealityCapture 1.0.3.10403                                   , School Map                                  , Align Images                                   , 19.1        , 19.9        , 19.5        , 19.7        , 20.4                , 19.6                ,         , 
RealityCapture 1.0.3.10403                                   , School Map                                  , Calculate Model                                , 190.5       , 191.9       , 198.4       , 198.6       , 205.7               , 198.9               ,         , 
RealityCapture 1.0.3.10403                                   , School Map                                  , Colorize                                       , 15.1        , 15          , 13.7        , 13.6        , 13.7                , 13.6                ,         , 
RealityCapture 1.0.3.10403                                   , School Map                                  , Texture                                        , 138.3       , 137.7       , 132.8       , 133         , 130.3               , 132.1               ,         , 
RealityCapture 1.0.3.10403                                   , School Map                                  , Ortho Projection                               , 51.1        , 51          , 52.3        , 52.5        , 51.6                , 51.7                ,         , 
RealityCapture 1.0.3.10403                                   , School Map                                  , Total                                          , 414.1       , 415.5       , 416.7       , 417.4       , 421.7               , 415.9               , 1.82%   , Within margin of error
