                                                             ,                                             ,                                                , W10 v1909 #1, W10 v1909 #2, W10 v2004 #1, W10 v2004 #2, W10 v2004 w/ WSL2 #1, W10 v2004 w/ WSL2 #2, Variance, Analysis
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Develop Module Loupe Scroll                 , 45MP .NEF                                      , 1.01        , 0.99        , 0.99        , 0.98        , 1.06                , 1.05                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Library to Develop Switch                   , 22MP .CR2                                      , 1.28        , 1.22        , 1.26        , 1.27        , 1.29                , 1.25                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Library to Develop Switch                   , 42MP .ARW                                      , 1.45        , 1.58        , 1.63        , 1.64        , 1.54                , 1.67                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Library to Develop Switch                   , 45MP .NEF                                      , 1.22        , 1.2         , 1.23        , 1.22        , 1.26                , 1.24                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Develop Module Auto WB/Tone                 , 22MP .CR2                                      , 0.41        , 0.42        , 0.48        , 0.47        , 0.54                , 0.52                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Develop Module Auto WB/Tone                 , 42MP .ARW                                      , 0.64        , 0.64        , 0.74        , 0.74        , 0.68                , 0.67                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Develop Module Auto WB/Tone                 , 45MP .NEF                                      , 0.5         , 0.51        , 0.53        , 0.52        , 0.62                , 0.62                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Build 500x Smart Previews                   , 22MP .CR2                                      , 36.42       , 36.07       , 36.09       , 36.26       , 36.06               , 35.96               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Build 500x Smart Previews                   , 42MP .ARW                                      , 56.88       , 55.68       , 56.53       , 56.23       , 56.94               , 57.15               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Build 500x Smart Previews                   , 45MP .NEF                                      , 45.1        , 44.02       , 43.9        , 45.15       , 44.4                , 45.2                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Photo Merge Panorama                        , 22MP .CR2                                      , 19.19       , 18.97       , 17.05       , 17.49       , 17.3                , 18.19               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Photo Merge Panorama                        , 42MP .ARW                                      , 28.79       , 26.77       , 26.03       , 26.33       , 27.33               , 27.31               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Photo Merge Panorama                        , 45MP .NEF                                      , 24.17       , 27.14       , 24.44       , 24.35       , 23.58               , 23.72               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Photo Merge HDR                             , 22MP .CR2                                      , 16.31       , 17.33       , 15.94       , 15.37       , 16.27               , 16.19               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Photo Merge HDR                             , 42MP .ARW                                      , 17.35       , 18.77       , 15.98       , 17.23       , 16.87               , 17                  ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Photo Merge HDR                             , 45MP .NEF                                      , 26.63       , 28.33       , 26.3        , 25.63       , 24.78               , 25.77               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Export 50x JPEG                             , 22MP .CR2                                      , 24.8        , 25.12       , 25.37       , 25.19       , 25.46               , 24.89               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Export 50x JPEG                             , 42MP .ARW                                      , 53.94       , 53.06       , 52.9        , 52.13       , 53.33               , 52.74               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Export 50x JPEG                             , 45MP .NEF                                      , 48.38       , 47.86       , 47.88       , 47.65       , 48.65               , 47.94               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Convert to DNG 50x Images                   , 22MP .CR2                                      , 33.87       , 33.73       , 34.11       , 34.38       , 33.57               , 33.24               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Convert to DNG 50x Images                   , 42MP .ARW                                      , 38.94       , 40.51       , 38.94       , 39.99       , 38.54               , 37.32               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Convert to DNG 50x Images                   , 45MP .NEF                                      , 37.43       , 37.33       , 36.54       , 37.24       , 36.13               , 35.86               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , Standard Overall Score                      ,                                                , 864         , 870         , 862         , 874         , 861                 , 859                 , 1.73%   , Within margin of error
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , Standard Export Score                       ,                                                , 96.9        , 97.4        , 96.1        , 98          , 95                  , 95.2                , 3.11%   , WSL2 does appear to have slightly lower performance here
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , Standard Live Playback Score                ,                                                , 75.9        , 76.5        , 76.3        , 76.8        , 77.1                , 76.6                , 1.57%   , Within margin of error
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , GPU Score                                   ,                                                , 71.8        , 71.7        , 71.8        , 71.8        , 71.8                , 71.8                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K H.264 150Mbps 8bit (59.94FPS)            , Lumetri Color - Live Playback (Half Res)       , 59.91       , 59.74       , 59.91       , 59.91       , 59.77               , 59.84               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K H.264 150Mbps 8bit (59.94FPS)            , Lumetri Color - Live Playback (Full Res)       , 59.64       , 59.67       , 59.87       , 59.91       , 59.64               , 59.81               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K H.264 150Mbps 8bit (59.94FPS)            , MultiCam - Live Playback (Half Res)            , 55.55       , 57.41       , 55.78       , 57.34       , 56.01               , 55.18               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K H.264 150Mbps 8bit (59.94FPS)            , MultiCam - Live Playback (Full Res)            , 2.36        , 1.33        , 3.16        , 2.46        , 3.26                , 2.43                ,         , 
